sppid,species,scinam,dataname,Rank,Occurrences,nSites,UseAvailability.North,Analysis.North,UseAvailability.South,Analysis.South,Maps,Origin
PyrolaAsarifolia,Pyrola asarifolia,Pyrola asarifolia,Pyrola.asarifolia,Species,1486,550,TRUE,TRUE,TRUE,TRUE,TRUE,Native
PyrolaChlorantha,Pyrola chlorantha,Pyrola chlorantha,Pyrola.chlorantha,Species,202,103,TRUE,TRUE,TRUE,FALSE,TRUE,Native
PyrolaElliptica,Pyrola elliptica,Pyrola elliptica,Pyrola.elliptica,Species,26,15,TRUE,FALSE,TRUE,FALSE,FALSE,Native
PyrolaMinor,Pyrola minor,Pyrola minor,Pyrola.minor,Species,36,22,TRUE,TRUE,FALSE,FALSE,TRUE,Native
PyrrocomaLanceolata,Pyrrocoma lanceolata,Pyrrocoma lanceolata,Pyrrocoma.lanceolata,Species,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,Native
Quercus,Quercus,Quercus,Quercus,Genus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
QuercusAlba,Quercus alba,Quercus alba,Quercus.alba,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
Ranunculus,Ranunculus,Ranunculus,Ranunculus,Genus,9,6,FALSE,FALSE,TRUE,FALSE,FALSE,NA
RanunculusAbortivus,Ranunculus abortivus,Ranunculus abortivus,Ranunculus.abortivus,Species,35,20,TRUE,FALSE,TRUE,FALSE,FALSE,Native
RanunculusAcris,Ranunculus acris,Ranunculus acris,Ranunculus.acris,Species,144,63,TRUE,TRUE,TRUE,FALSE,TRUE,Exotic
RanunculusAquatilis,Ranunculus aquatilis,Ranunculus aquatilis,Ranunculus.aquatilis,Species,15,7,TRUE,FALSE,FALSE,FALSE,FALSE,Native
RanunculusCardiophyllus,Ranunculus cardiophyllus,Ranunculus cardiophyllus,Ranunculus.cardiophyllus,Species,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,Native
RanunculusCymbalaria,Ranunculus cymbalaria,Ranunculus cymbalaria,Ranunculus.cymbalaria,Species,82,40,TRUE,FALSE,TRUE,TRUE,TRUE,Native
RanunculusGmelinii,Ranunculus gmelinii,Ranunculus gmelinii,Ranunculus.gmelinii,Species,78,47,TRUE,TRUE,TRUE,FALSE,TRUE,Native
RanunculusHyperboreus,Ranunculus hyperboreus,Ranunculus hyperboreus,Ranunculus.hyperboreus,Species,4,3,FALSE,FALSE,FALSE,FALSE,FALSE,Native
RanunculusLapponicus,Ranunculus lapponicus,Ranunculus lapponicus,Ranunculus.lapponicus,Species,114,61,TRUE,TRUE,FALSE,FALSE,TRUE,Native
RanunculusMacounii,Ranunculus macounii,Ranunculus macounii,Ranunculus.macounii,Species,131,72,TRUE,TRUE,TRUE,TRUE,TRUE,Native
RanunculusPedatifidus,Ranunculus pedatifidus,Ranunculus pedatifidus,Ranunculus.pedatifidus,Species,8,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
